Var,click_rate
07d7df22,0.19940029985007496
0f2161f8,0.10798180558840423
cef3e649,0.0940936481511876
8ded1f7a,0.08863473909935668
f95efa07,0.2474078545557844
d1327cf5,0.11948559335829399
09481d60,0.15335689045936396
dc97ec06,0.15525448553643353
75d80bbe,0.0954356846473029
fc6fa53d,0.05012744265080714
4ce2e9fc,0.12453531598513011
879c24eb,0.09615384615384616
a3c42688,0.06088560885608856
4681bb9d,0.11151079136690648
0f9a328c,0.1647940074906367
a86a3e89,0.14814814814814814
2281a340,0.02830188679245283
8df2e842,0.21875
